group_id_text	group_name	group_type	group_keyword	group_members	group_description
for_those_feeling_spaced_out	For Those Feeling Spaced Out	Public	 General Health 	10	A group for those who constantly feel "spaced out", "in a dream", "always drunk" or just "not with it".  It's a hard and confusing feeling to describe but these all are very accurate descriptions of how I have felt 24/7 for the past 8 years.  This is a feeling that for me personally has never gone away, although sometimes it's more tolerable than others.  I have come across hundreds of other individuals in my years of research who share in these unique and unexplainable symptoms.  Most often, other symptoms accompany the spaced out feeling such as feeling dizzy, disoriented, off balance, head pressure and various others.  This is a group that will allow us all to interact with each other, share our feelings, ideas, tests we have had, things that have helped, what we know, or what we don't know... basically anything that helps us cope and keep hope in finding answers.
get_best_sleep_everyday_	Get best sleep everyday.	Public	 Sleep Disorders 	1	I am not any professional with any degree or specialization. I am a true 25 years old human heart who lives to understand 'Why we don't get sleep?' even after we do live our lives easily, comfortable and without any other problem. There are also some types of it. Some of us gets it only if our body eats, drinks, enjoys or have a great sex. Don't we make our Girlfriends a Sleeping Machine? We earn, spent, enjoy and live our lives the way we want. Then why HE takes sleep from our life for ever? HE is your SOUL.Actually, it is very easy to get a good sleep. I have lots of ways for it. And that's why I am here. I want to help you everyone in the world to get relaxed and ready for a bright future.
glbtq_community	GLBTQ Community	Public	 MedHelp General 	6	If you or someone you know or love identifies as GLBTor Q (Gay, Lesbian, Bisexual, Transgender or Questioning), this is a safe, non-judgmental place to talk about your concerns, bring your questions, ask for advice or just vent away!
getting_periods_again_after_exercising_	Getting periods again after exercising?	Public	 Women's Health 	1	I had a question, or rather something to wonder about. I just placed my mirena about 5 months ago. And everything went well so far and my periods slowly started to disappear. But the lazy person that I am didn't do anything about exercising in those 5 months, until now. I jog if I get the getting-fat-scare and ever since I have been jogging I have been getting these periods, heavier en more painful then before. What is up with this? Is there any way to stop this? Can it be that my IUD is been going loose and wild inside my uterus? HELP?!
first_time_pregnancy_for_women_40_	First time pregnancy for women 40+	Public	 Pregnancy 	6	This group is for women that are 40+ and that are NATURALLY pregnant (without IVF or other treatments) for the FIRST time (excluding tubal pregnancies, DNC, etc...) Other members are welcome to give feedback about their first natural pregnancies.  :)*NOTE* Please keep in mind that the FOCUS in this group is: women over 40 that are pregnant for the first time and without fertility treatment. I am bringing attention to this because we all know that pregnancy threads can easily get off subject and mostly turn into conversations about infertility and treatments when women over 40 are involved. :)
glen_nordstrom	Glen Nordstrom	Public	 Men's Health 	3	In this day and age I believe active sexual relationships are important to seniors. It seems like every time the topic of sex is discussed, especially between senior males, the term ED (erectile disfunction) comes up in the conversation. My understanding is that this problem can be mental or physical. I think it would be interesting and beneficial if senior men had a place to discuss this issue.
grandparenting_advice_support_and_fun_tips	Grandparenting Advice Support and Fun Tips	Public	 Children's Health 	7	Hi everyone I thought it may be nice to have a special forum for us grandparents, or grandparents to be.My little grandson son is 6 days old. His mommy just turned 17 and his daddy is my son who is off in the Army.Lets brag, talk, offer support, concerns on grandparents rights.For those who have older grandchildren you can help with wisom when we run into snags...like my Holly Chases mom she was out cleaning and painting rental homes with her father just 4 days after giving birth...I HAD to tell her gently I thought she should be resting and it was too soon for such activty.She didnt listen so I had to let it go...17 and a mom  she had about 15 minutes of labor and the baby sleeps 4 hrs at a stretch.shes a lucky young woman, and so am I to have her and my beautiful grandson...Love at first sight indeed.so chime in ask questions  or just brag away...this forum is wide open..with just a few stipulations...we will be respectful and support each !
happy_healthy___or_so_i_thought___ra_young_adult	Happy Healthy...or so I thought...RA young adult	Public	 Autoimmune 	13	I am wondering if i am alone out here. As anyone else with Rheumatoid Arthritis I have a laundry list of ailments and medications all managed by my fabulous Rheumatologist...*insert thank you note here**I have gone through some phases so far of this disease: Denial (which was silly and quickly had 3 Dr.s all agreeing that I need to start RA meds), Confusion, resolved with Education, Depression (caused by the Education), now I am nearing Acceptance. Anyone else out there? I am only 27.. just doesn't seem fair. I know neither is life, however, why is it that no one understands my constant pain? Why do people think i am in a bad mood when i forget to wear my mask? its not that i promise it's only the 10 new nodules on my hands, the redness, the fevers, sleepless nights, the swelling, the embarrassment of not being able to move my hands or feet or shoulder or neck!  Cant they see I tried to put on my mask today, its just that my hands stopped working half way to the finish line!Please if I am not alone here I'd love to hear your story of your mask that you put on everyday.
green_host	Green Host	Public	 Infectious Diseases 	1	Green Host Contribute to a cleaner, better environment by going for green web hosting services. Green hosting is energy-efficient, environment friendly and supports reduction of carbon dioxide emmisions by using renewable energy credits. Host your websites and blogs with a webhost who powers your sites on climate friendly wind powered servers
hate	hate	Public	 Diabetes 	4	hate
hair	hair	Public	 MedHelp General 	8	if you have hair loss,dandruff,too dry or too oily hair,etc...!! let us know,we'll help you have healthy hair.....
hair_styles	hair styles	Public	 MedHelp General 	9	what hair style is suitable for you??!our purpose is to make some hair styles!!!!:)
handsome	handsome	Public	 Men's Health 	2	we're gonna talk about what we should do to be more handsome?!.................
hammon	hammon	 Private 	 Diabetes 	1	I am 46 years old. Can i still be pregnant?
h1_n1_flu_vaccine_adverse_reaction_group	H1N1 Flu Vaccine adverse reaction group	 Private 	 Neurology 	51	A support group created for people who have had adverse reactions to the H1N1 flu vaccine that provides a positive place to exchange of information and friendship while healing.
hard_to_love	Hard To love	Public	 Women's Health 	1	For anyone with issues about them self meaning vaginal diacharge,vaginal odor.Has been to the doctor they dont know whats wrong,This is a group that talks about the embrassment.What to do. What to try. Just someone to talk to about it,In general everything thats going on with this problem and how it affects you.IT'S ALL ABOUT THE PROBLEM AND YOU.TO BE YOU AGAIN !!
group_track___we_will_stop_smoking	GroupTrack:  We Will Stop Smoking	Public	 Addiction 	32	"We Will Stop Smoking" members look forward to kicking their cigarette habit one day at a time. By using MedHelp trackers, FAQ's, discussions & tips, together we'll achieve healthier-lifestyle goals in an inspirational setting. Come join us today, as "We Will Stop Smoking!"
group_track___we_are_growing_healthy_babies	GroupTrack:  We Are Growing Healthy Babies	Public	 Pregnancy 	72	As a group of expectant parents looking forward to their new pregnancy, we'll be using MedHelp trackers, apps, pregnancy FAQ's, discussions, health pages and videos, to accomplish our daily goal for a healthy pregnancy. But there's one more VERY important ingredient that only YOU can add -- Lots of Laughter along the way! Come join us today, as you Grow Your Healthy Baby!
